planned_phase,radius_min,radius_max,radius_mid,max_step,score,reward_corr,reward_sep,failure_order,thrust_score,theta_progress_gain,alpha_beta_gain,axis_error_penalty_gain,angle_focus_gain,turn_toward_gain,action_alignment_gain,reverse_penalty_gain,near_success_gain,thrust_gate_gain,thrust_gate_target_norm,thrust_gate_theta_start_deg,thrust_gate_theta_span_deg,thrust_gate_distance_scale,thrust_gate_distance_floor,min_thrust,max_thrust,phase_candidates,phase_elapsed_seconds
1,105.0,120.0,112.5,520.0,55.75784683227539,0.7851579189300537,61.24722671508789,137.4215087890625,2.3109402656555176,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.3840000033378601,0.05999999865889549,0.4049999713897705,0.25,1.649999976158142,-0.44999998807907104,55.0,15.0,30.0,0.6499999761581421,690.0,850.0,21430272,721.3626458644867
2,120.0,140.0,130.0,540.0,56.44020080566406,0.7825612425804138,60.89105987548828,138.88221740722656,2.310567617416382,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.23999999463558197,0.05999999865889549,0.4049999713897705,0.15000000596046448,1.649999976158142,-0.44999998807907104,55.0,12.0,35.0,0.800000011920929,690.0,820.0,21757952,721.5315380096436
3,140.0,165.0,152.5,560.0,57.46779251098633,0.7836661338806152,61.172176361083984,138.4282684326172,2.2951648235321045,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.2759999930858612,0.05999999865889549,0.4049999713897705,0.2874999940395355,1.649999976158142,-0.44999998807907104,55.0,12.0,40.0,0.800000011920929,720.0,840.0,21757952,721.6228652000427
4,165.0,195.0,180.0,580.0,58.63972854614258,0.7849159240722656,61.39662170410156,137.35244750976562,2.233999252319336,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.3840000033378601,0.05999999865889549,0.4049999713897705,0.3375000059604645,1.649999976158142,-0.44999998807907104,55.0,12.0,40.0,0.6499999761581421,720.0,870.0,21757952,722.0363557338715
5,195.0,230.0,212.5,600.0,60.045509338378906,0.7823959589004517,61.08340835571289,138.7967529296875,2.2886502742767334,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.2759999930858612,0.03999999910593033,0.4049999713897705,0.25,1.649999976158142,-0.44999998807907104,55.0,12.0,30.0,0.6499999761581421,730.0,840.0,21757952,721.946492433548
6,230.0,270.0,250.0,640.0,61.58231735229492,0.781708300113678,60.92041778564453,138.19717407226562,2.265253782272339,1.6649999618530273,0.4050000309944153,0.2800000011920929,1.8700001239776611,0.3240000009536743,0.024000000208616257,0.4049999713897705,0.3375000059604645,1.649999976158142,-0.44999998807907104,55.0,12.0,50.0,0.800000011920929,710.0,840.0,21233664,722.1741063594818
7,270.0,315.0,292.5,660.0,63.55860900878906,0.7823700308799744,61.21914291381836,138.17100524902344,2.3163180351257324,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.3240000009536743,0.04800000041723251,0.4049999713897705,0.2874999940395355,1.649999976158142,-0.44999998807907104,55.0,15.0,40.0,0.800000011920929,700.0,840.0,21037056,720.9823544025421
8,315.0,365.0,340.0,700.0,65.55473327636719,0.7805057764053345,61.14997863769531,139.28305053710938,2.263246536254883,1.6649999618530273,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.20399999618530273,0.04800000041723251,0.4049999713897705,0.3375000059604645,1.649999976158142,-0.4000000059604645,55.0,15.0,30.0,0.800000011920929,700.0,840.0,21037056,721.0392558574677
9,365.0,425.0,395.0,760.0,68.31000518798828,0.7853720784187317,62.32979965209961,138.6714324951172,2.242431879043579,1.8899998664855957,0.4650000035762787,0.2800000011920929,1.8700001239776611,0.3240000009536743,0.05999999865889549,0.4049999713897705,0.25,1.649999976158142,-0.3499999940395355,55.0,12.0,35.0,0.6499999761581421,710.0,840.0,21037056,722.147305727005
10,425.0,500.0,462.5,820.0,71.23695373535156,0.7843464612960815,62.16740798950195,138.16001892089844,2.310567617416382,1.8899998664855957,0.4050000309944153,0.2800000011920929,1.8700001239776611,0.3840000033378601,0.03200000151991844,0.4049999713897705,0.3375000059604645,1.649999976158142,-0.44999998807907104,55.0,12.0,35.0,0.800000011920929,720.0,870.0,21037056,721.02539229393
