lag,score,theta_improve_corr,axis_improve_corr,n
1,score_pos,0.18866416948323816,0.1142156694114462,35379
1,score_neg,-0.18866416948323816,-0.1142156694114462,35379
1,turn_pos,0.42251656953498684,0.25579465261310724,35379
1,turn_neg,-0.42251656953498684,-0.25579465261310724,35379
2,score_pos,0.19301585457068685,0.13862418198995552,35195
2,score_neg,-0.19301585457068685,-0.13862418198995552,35195
2,turn_pos,0.43812111557974465,0.3290523499972006,35195
2,turn_neg,-0.43812111557974465,-0.3290523499972006,35195
3,score_pos,0.19767177155227195,0.15129439416876583,35011
3,score_neg,-0.19767177155227195,-0.15129439416876583,35011
3,turn_pos,0.4482682237349916,0.3711687709961799,35011
3,turn_neg,-0.4482682237349916,-0.3711687709961799,35011
5,score_pos,0.19945690323198761,0.16898646625722819,34643
5,score_neg,-0.19945690323198761,-0.16898646625722819,34643
5,turn_pos,0.4625778276941626,0.4205811199836527,34643
5,turn_neg,-0.4625778276941626,-0.4205811199836527,34643
8,score_pos,0.21017509093585898,0.17876515414920613,34091
8,score_neg,-0.21017509093585898,-0.17876515414920613,34091
8,turn_pos,0.471763423143624,0.4550616570629632,34091
8,turn_neg,-0.471763423143624,-0.4550616570629632,34091
10,score_pos,0.21140621262272974,0.18386980064130196,33723
10,score_neg,-0.21140621262272974,-0.18386980064130196,33723
10,turn_pos,0.4716954353800575,0.4654212937706791,33723
10,turn_neg,-0.4716954353800575,-0.4654212937706791,33723
15,score_pos,0.21224768484316064,0.18933837552800178,32803
15,score_neg,-0.21224768484316064,-0.18933837552800178,32803
15,turn_pos,0.45767955841256225,0.4667162684819355,32803
15,turn_neg,-0.45767955841256225,-0.4667162684819355,32803
20,score_pos,0.2114486393264058,0.19129805649593554,31883
20,score_neg,-0.2114486393264058,-0.19129805649593554,31883
20,turn_pos,0.42884767374210464,0.4433562971741691,31883
20,turn_neg,-0.42884767374210464,-0.4433562971741691,31883
