episode_id,timestamp,done_reason,episode_len,episode_return,min_distance,final_distance,min_theta_deg,final_theta_deg
1,2026-05-15 15:17:58,bad_angle,33,-49.618320158057315,690.732421875,690.732421875,82.80383130816863,112.78554772658656
2,2026-05-15 15:18:00,bad_angle,165,-39.95217063128675,609.0562744140625,609.0562744140625,22.669358581684595,110.87483645722133
3,2026-05-15 15:18:02,low_agl,204,-43.496012779172986,578.0877075195312,578.0877075195312,30.545452911754104,86.52002112235667
4,2026-05-15 15:18:03,low_agl,133,-52.22473534640985,631.2002563476562,631.2002563476562,38.52865997593505,96.56063825889636
5,2026-05-15 15:18:04,bad_angle,40,-49.642181231742626,689.0162963867188,689.0162963867188,82.01180257201395,113.25150323176483
6,2026-05-15 15:18:05,low_agl,162,-53.549222124862666,620.9214477539062,620.9214477539062,46.2896058543346,86.17652407880756
7,2026-05-15 15:18:06,bad_angle,42,-49.16769772829568,686.4244995117188,686.4244995117188,80.068641073902,111.3121393188314
8,2026-05-15 15:18:08,low_agl,257,-40.21295077250156,549.4637451171875,549.4637451171875,9.015653336478193,88.26670539880404
9,2026-05-15 15:18:09,low_agl,81,-54.11282943991386,659.9950561523438,659.9950561523438,28.364064660675865,73.9792815420255
10,2026-05-15 15:18:10,low_agl,109,-54.762931348228996,647.9742431640625,647.9742431640625,46.066173291110566,85.09382298214464
11,2026-05-15 15:18:13,bad_angle,258,-32.639067867502334,552.2758178710938,552.2758178710938,25.181239196132235,110.68751851923373
12,2026-05-15 15:18:15,low_agl,157,-47.53729559532957,610.0447387695312,610.0447387695312,24.399028856909453,88.67656456032898
13,2026-05-15 15:18:15,bad_angle,29,-49.553178182696065,692.5093383789062,692.5093383789062,82.00420740165688,113.59891397370835
14,2026-05-15 15:18:17,low_agl,169,-42.49830461349546,594.6619262695312,594.6619262695312,3.81166689416154,75.08293765906203
15,2026-05-15 15:18:19,low_agl,240,-30.66841676380116,534.2822265625,534.2822265625,3.2478132203924197,77.19617769769646
16,2026-05-15 15:18:20,bad_angle,80,-48.58154758521155,668.5143432617188,668.5143432617188,74.33179443527904,111.43411283702949
17,2026-05-15 15:18:22,bad_angle,266,-25.363220172329374,535.4159545898438,535.4159545898438,1.7277106512633,112.31584244755395
18,2026-05-15 15:18:24,low_agl,132,-46.72451707991616,618.6937866210938,618.6937866210938,6.571189250459514,35.375007956883834
19,2026-05-15 15:18:25,low_agl,118,-54.40776741858171,641.979736328125,641.979736328125,31.83377685338025,81.56165212457509
20,2026-05-15 15:18:25,bad_angle,46,-49.601314403664865,685.1564331054688,685.1564331054688,82.68629741293104,115.16514465228397
21,2026-05-15 15:18:29,bad_angle,341,-12.2238408269097,467.4053649902344,467.4053649902344,0.2525642271686456,110.93667698996663
22,2026-05-15 15:18:29,bad_angle,26,-49.86484177864586,694.4312744140625,694.4312744140625,82.27072138307079,115.35638994904433
23,2026-05-15 15:18:31,low_agl,155,-51.69976859632735,620.833984375,620.833984375,50.50393844016461,85.46488666918393
24,2026-05-15 15:18:32,bad_angle,30,-49.44275460438876,692.2339477539062,692.2339477539062,83.64059095319772,110.04917586959351
25,2026-05-15 15:18:35,low_agl,159,-45.70229608632269,603.2459716796875,603.2459716796875,8.881904572151004,73.9902371654542
26,2026-05-15 15:18:37,low_agl,134,-49.27223180314792,625.6236572265625,625.6236572265625,22.067726491285896,65.38789394357912
27,2026-05-15 15:18:38,bad_angle,28,-49.560705033296266,693.744140625,693.744140625,80.63369579374798,112.83842022095162
28,2026-05-15 15:18:39,bad_angle,65,-47.42313732037558,671.9398193359375,671.9398193359375,63.41513040560434,110.04897779410759
29,2026-05-15 15:18:40,low_agl,157,-46.87886223956456,608.1298217773438,608.1298217773438,22.3495230209677,67.62727391580535
30,2026-05-15 15:18:42,low_agl,166,-49.60567593706496,613.2407836914062,613.2407836914062,19.59694995526339,80.54487601378113
31,2026-05-15 15:18:44,low_agl,255,-45.264215902610374,561.7481079101562,561.7481079101562,42.8618993250258,54.4566577053102
32,2026-05-15 15:18:46,low_agl,199,-46.93658825878788,588.4255981445312,588.4255981445312,33.87914871732685,93.40698965493974
33,2026-05-15 15:18:48,low_agl,180,-41.47589159013844,585.1055908203125,585.1055908203125,19.014464592655532,56.36323329513297
34,2026-05-15 15:18:50,low_agl,144,-51.745108445874685,626.7835083007812,626.7835083007812,45.391760412463505,79.3050873963971
35,2026-05-15 15:18:51,low_agl,130,-48.801837837994135,626.9035034179688,626.9035034179688,1.7518947502887285,9.442523937904712
36,2026-05-15 15:18:52,low_agl,123,-47.334926120118524,626.47802734375,626.47802734375,4.826493412834273,86.22717676169238
37,2026-05-15 15:18:54,low_agl,200,-47.01839249812959,589.9318237304688,589.9318237304688,22.791574571598215,80.15528202352361
38,2026-05-15 15:18:54,bad_angle,62,-47.5669096968872,674.4337158203125,674.4337158203125,47.10367219584633,115.62784898741732
39,2026-05-15 15:18:57,bad_angle,256,-32.69458845926444,552.7246704101562,552.7246704101562,6.750929947336631,111.15121323179673
40,2026-05-15 15:18:59,low_agl,169,-50.64739710780517,613.8887939453125,613.8887939453125,47.58579475879002,70.23117425384599
41,2026-05-15 15:19:00,low_agl,109,-50.6152673739427,639.4925537109375,639.4925537109375,1.8738794742659233,60.43100026665826
42,2026-05-15 15:19:01,bad_angle,124,-42.2355415241623,635.4609985351562,635.4609985351562,42.0606737391537,112.46054000512066
43,2026-05-15 15:19:02,low_agl,110,-53.22370290554664,643.0682983398438,643.0682983398438,35.3346108030378,69.98905770814739
44,2026-05-15 15:19:06,low_agl,353,-29.632996241975995,484.06121826171875,484.06121826171875,0.5898349129590555,50.88520984491848
45,2026-05-15 15:19:06,bad_angle,62,-48.692286489744355,677.8284912109375,677.8284912109375,77.76220230440458,114.1500624284042
46,2026-05-15 15:19:06,bad_angle,26,-50.71469531893433,695.7168579101562,695.7168579101562,84.49264339177847,145.19394839483996
47,2026-05-15 15:19:08,low_agl,120,-51.31846422217205,635.2314453125,635.2314453125,52.891892102311544,63.03060441571096
48,2026-05-15 15:19:12,low_agl,341,-26.992472542107684,481.9110107421875,481.9110107421875,4.766414215121195,86.2998977857855
49,2026-05-15 15:19:12,bad_angle,35,-50.248558930078964,691.0684204101562,691.0684204101562,83.9294055022517,114.17012952418568
50,2026-05-15 15:19:14,low_agl,209,-44.3089160903448,578.2933959960938,578.2933959960938,27.619261559989948,75.3613908111451
51,2026-05-15 15:19:15,bad_angle,136,-43.33863675115982,633.8143310546875,633.8143310546875,34.18898658864614,110.04834258651478
52,2026-05-15 15:19:17,low_agl,137,-48.09647991765184,619.6412353515625,619.6412353515625,38.40610589165751,80.48393706600628
53,2026-05-15 15:19:17,bad_angle,59,-48.32482208311765,677.0279541015625,677.0279541015625,70.52927102998203,114.77716258667057
54,2026-05-15 15:19:18,low_agl,131,-50.38190738419789,628.902587890625,628.902587890625,21.055540267614198,22.73149964275337
55,2026-05-15 15:19:19,bad_angle,67,-47.296667121539905,671.2293701171875,671.2293701171875,52.314061513623045,111.02508012839411
